Demographic Group,Subgroup,N,N Positive,Prevalence,AUC-ROC,FNR,PPV
Race/Ethnicity,White,41364,7439,18.0%,0.6888,0.3863,0.2849
Race/Ethnicity,Black/AA,11299,2025,17.9%,0.6941,0.3872,0.2858
Race/Ethnicity,Hispanic,3537,654,18.5%,0.6839,0.3945,0.2867
Race/Ethnicity,Asian,1966,366,18.6%,0.6828,0.3716,0.2934
Race/Ethnicity,Other/Unknown,4119,765,18.6%,0.6901,0.4052,0.2885
Age Group,18-50,16056,2892,18.0%,0.6853,0.3890,0.2850
Age Group,51-65,17540,3150,18.0%,0.6901,0.3870,0.2870
Age Group,66-75,12687,2253,17.8%,0.6925,0.3906,0.2800
Age Group,76-85,9934,1820,18.3%,0.6861,0.3912,0.2832
Age Group,85+,6068,1134,18.7%,0.6973,0.3757,0.2995
Gender,M,28592,5099,17.8%,0.6898,0.3911,0.2799
Gender,F,33693,6150,18.2%,0.6890,0.3850,0.2905
Insurance,Medicare,31738,5768,18.2%,0.6948,0.3831,0.2896
Insurance,Medicaid,11213,2018,18.0%,0.6781,0.4054,0.2775
Insurance,Private,17552,3147,17.9%,0.6847,0.3867,0.2823
Insurance,Other,1737,311,17.9%,0.7080,0.3730,0.3009
