feature,mean_abs_shap
prior_admissions_12mo,0.08502345195410543
n_medications,0.0196557816272843
n_diagnoses,0.018162992670751724
los_days,0.013785615386170458
n_procedures,0.010785550306234843
age,0.006737244920311447
race_simple_Other/Unknown,0.005441556941821006
charlson_index,0.00485947213453924
age_group_18-50,0.0035227246276467953
emergency_adm,0.0032129540608238556
race_simple_White,0.002715441481860958
insurance_simple_Private,0.0020821113518121846
gender_enc,0.002058334995628511
high_risk_med,0.0010366525868923785
insurance_simple_Medicare,0.00028107217248780154
